ID	Classify
hsa-mir-4433b	miRNA
hsa-mir-451a	miRNA
hsa-mir-139	miRNA
hsa-mir-142	miRNA
hsa-mir-144	miRNA
hsa-mir-424	miRNA
hsa-mir-126	miRNA
hsa-mir-486-1	miRNA
hsa-mir-10b	miRNA
hsa-mir-486-2	miRNA
hsa-mir-206	miRNA
hsa-mir-4678	miRNA
hsa-mir-891b	miRNA
hsa-mir-194-1	miRNA
hsa-mir-194-2	miRNA
CD5L	gene
CTD-2561B21.5	gene
RP11-414J4.2	gene
LMAN1L	gene
FAM9C	gene
SPIC	gene
KCNT1	gene
RP11-752D24.2	gene
STAB2	gene
CD160	gene
NKX2-5	gene
SLC9A5	gene
GPR182	gene
CXCR2P1	gene
CTB-127C13.1	gene
MMP12	gene
RP11-1212A22.4	gene
IDI2-AS1	gene
ITGAD	gene
EEF1A1P24	gene
AC073850.6	gene
KLRF1	gene
RN7SK	gene
ADRA1A	gene
SCN11A	gene
UMODL1-AS1	gene
DNAH17-AS1	gene
LINC00996	gene
DNASE1L3	gene
GDF7	gene
NR5A1	gene
TBC1D27	gene
OR5G5P	gene
H3F3C	gene
FCRL3	gene
U62631.5	gene
PARP15	gene
KLRD1	gene
SIGLEC11	gene
CCM2L	gene
NCR1	gene
AC008984.6	gene
ABCA9-AS1	gene
FGFBP2	gene
AIF1L	gene
LRTM1	gene
LEFTY2	gene
KLHL14	gene
RP11-958F21.1	gene
CD22	gene
AP001604.3	gene
SNORD17	gene
CRHBP	gene
RN7SL752P	gene
CR1	gene
TBX21	gene
ATP4B	gene
KIR3DX1	gene
TRAPPC3L	gene
RP11-764K9.1	gene
RP11-107E5.3	gene
RP1-310O13.7	gene
CTC-457L16.2	gene
RP11-78B10.2	gene
FCRL2	gene
TRG-AS1	gene
CLECL1	gene
AC010970.2	gene
CD36	gene
TM4SF19	gene
LILRA1	gene
TLR10	gene
RP11-327F22.2	gene
GLYCTK-AS1	gene
AC108938.5	gene
AC012123.1	gene
CHRNA4	gene
FCRL6	gene
RP11-489O18.1	gene
RP11-95M15.2	gene
PTGDR	gene
