gene	drug	Cor	corMean	corSd	zVal	pValue
BRAF	219	-0.459	0.035950943	0.171926587	-2.878850512	0.003991275
BRAF	229	-0.443	0.035950943	0.171926587	-2.785787535	0.005339786
BRAF	1008	-0.404	0.035950943	0.171926587	-2.558946529	0.010498989
BRAF	203	-0.376	0.035950943	0.171926587	-2.396086319	0.016571187
BRAF	83	0.441	0.035950943	0.171926587	2.355941936	0.018475805
BRAF	223	-0.369	0.035950943	0.171926587	-2.355371267	0.018504207
BRAF	17	-0.359	0.035950943	0.171926587	-2.297206906	0.021606969
BRAF	301	-0.337	0.035950943	0.171926587	-2.169245313	0.030064065
BRAF	3	0.383	0.035950943	0.171926587	2.018588645	0.043529992
BRAF	155	0.382	0.035950943	0.171926587	2.012772209	0.044138599
BRAF	153	0.382	0.035950943	0.171926587	2.012772209	0.044138599
BRAF	252	-0.309	0.035950943	0.171926587	-2.006385104	0.044815176
BRAF	283	-0.307	0.035950943	0.171926587	-1.994752232	0.04606991
BRAF	235	-0.305	0.035950943	0.171926587	-1.983119359	0.047354099
BRAF	228	-0.299	0.035950943	0.171926587	-1.948220743	0.051388556
BRAF	152	-0.287	0.035950943	0.171926587	-1.87842351	0.060323252
BRAF	54	0.35	0.035950943	0.171926587	1.826646255	0.067752974
BRAF	1006	0.343	0.035950943	0.171926587	1.785931203	0.074110398
BRAF	1031	0.339	0.035950943	0.171926587	1.762665459	0.07795693
BRAF	303	-0.265	0.035950943	0.171926587	-1.750461917	0.08003864
BRAF	1495	0.336	0.035950943	0.171926587	1.74521615	0.080947251
BRAF	1032	-0.262	0.035950943	0.171926587	-1.733012609	0.083093428
BRAF	1033	-0.261	0.035950943	0.171926587	-1.727196173	0.084132438
BRAF	1133	0.331	0.035950943	0.171926587	1.71613397	0.086137525
BRAF	211	-0.258	0.035950943	0.171926587	-1.709746865	0.087312692
BRAF	1494	0.328	0.035950943	0.171926587	1.698684662	0.089378615
BRAF	38	0.326	0.035950943	0.171926587	1.68705179	0.091593394
BRAF	159	0.319	0.035950943	0.171926587	1.646336738	0.09969445
BRAF	273	-0.245	0.035950943	0.171926587	-1.634133196	0.102230886
BRAF	1529	0.307	0.035950943	0.171926587	1.576539505	0.114901522
BRAF	1259	0.298	0.035950943	0.171926587	1.52419158	0.127460861
BRAF	1058	-0.226	0.035950943	0.171926587	-1.523620911	0.127603436
BRAF	274	-0.22	0.035950943	0.171926587	-1.488722295	0.136560512
BRAF	272	-0.218	0.035950943	0.171926587	-1.477089423	0.139651668
BRAF	1037	0.289	0.035950943	0.171926587	1.471843656	0.141063102
BRAF	1012	-0.217	0.035950943	0.171926587	-1.471272987	0.141217306
BRAF	32	0.288	0.035950943	0.171926587	1.46602722	0.142640871
BRAF	208	-0.215	0.035950943	0.171926587	-1.459640115	0.144389008
BRAF	225	-0.214	0.035950943	0.171926587	-1.453823679	0.145995197
BRAF	221	-0.212	0.035950943	0.171926587	-1.442190807	0.149248553
BRAF	292	-0.21	0.035950943	0.171926587	-1.430557934	0.152556951
BRAF	177	0.278	0.035950943	0.171926587	1.407862859	0.159171683
BRAF	134	0.277	0.035950943	0.171926587	1.402046423	0.160901384
BRAF	9	0.277	0.035950943	0.171926587	1.402046423	0.160901384
BRAF	86	0.276	0.035950943	0.171926587	1.396229987	0.162645249
BRAF	224	-0.202	0.035950943	0.171926587	-1.384026446	0.166350357
BRAF	167	0.273	0.035950943	0.171926587	1.378780679	0.167962385
BRAF	329	-0.2	0.035950943	0.171926587	-1.372393574	0.16994095
BRAF	1054	0.27	0.035950943	0.171926587	1.361331371	0.173408993
BRAF	164	0.27	0.035950943	0.171926587	1.361331371	0.173408993
BRAF	326	-0.197	0.035950943	0.171926587	-1.354944266	0.175435315
BRAF	194	0.267	0.035950943	0.171926587	1.343882063	0.178986527
BRAF	276	-0.195	0.035950943	0.171926587	-1.343311394	0.179171164
BRAF	1011	-0.194	0.035950943	0.171926587	-1.337494958	0.181061127
BRAF	182	0.259	0.035950943	0.171926587	1.297350574	0.19451059
BRAF	1230	0.258	0.035950943	0.171926587	1.291534138	0.196518525
BRAF	1091	0.254	0.035950943	0.171926587	1.268268394	0.20470212
BRAF	53	0.254	0.035950943	0.171926587	1.268268394	0.20470212
BRAF	1028	-0.182	0.035950943	0.171926587	-1.267697725	0.204905918
BRAF	1001	-0.181	0.035950943	0.171926587	-1.261881289	0.206991506
BRAF	1192	0.249	0.035950943	0.171926587	1.239186214	0.215276545
BRAF	1219	0.249	0.035950943	0.171926587	1.239186214	0.215276545
BRAF	330	-0.177	0.035950943	0.171926587	-1.238615545	0.215487909
BRAF	1236	-0.174	0.035950943	0.171926587	-1.221166237	0.222023085
BRAF	1373	0.245	0.035950943	0.171926587	1.21592047	0.22401522
BRAF	1242	0.239	0.035950943	0.171926587	1.181021853	0.237594042
BRAF	60	0.236	0.035950943	0.171926587	1.163572545	0.244597283
BRAF	1059	-0.164	0.035950943	0.171926587	-1.163001876	0.244828741
BRAF	331	-0.161	0.035950943	0.171926587	-1.145552568	0.251980333
BRAF	302	-0.159	0.035950943	0.171926587	-1.133919696	0.256828235
BRAF	346	-0.159	0.035950943	0.171926587	-1.133919696	0.256828235
BRAF	254	-0.157	0.035950943	0.171926587	-1.122286824	0.261740507
BRAF	310	-0.155	0.035950943	0.171926587	-1.110653951	0.26671733
BRAF	1050	0.226	0.035950943	0.171926587	1.105408185	0.268982759
BRAF	277	-0.152	0.035950943	0.171926587	-1.093204643	0.274303959
BRAF	1046	0.221	0.035950943	0.171926587	1.076326004	0.281781483
