IDENTIFIER	GSM1052615	GSM1052616	GSM1052617	GSM1052618	GSM1052619	GSM1052620
A1CF	6.02059	5.94719	5.86912	5.88212	5.9578	5.84998
A2M	8.64867	8.88774	8.5889	9.09087	9.14148	8.78077
A2ML1	5.71866	5.79065	5.78805	5.52708	5.77058	5.63181
A4GALT	7.50088	7.85186	7.612	7.30446	7.12603	7.32312
A4GNT	5.23576	5.48747	5.27026	5.04804	5.16426	5.28714
AAAS	11.4315	11.3231	11.3101	11.0793	11.0615	11.0331
AACS	9.81061	9.87897	9.89355	9.9286	9.85957	9.84847
AADAC	3.62474	3.75206	3.72623	3.70647	3.60462	3.72149
AADACL2	4.35864	4.62587	4.44647	4.50415	4.40644	4.59642
AADACL3	6.182	6.42938	6.08949	6.07356	6.32084	6.34032
AADACL4	5.40322	5.42276	5.42296	5.44515	5.51802	5.42273
AADAT	10.7702	10.7724	11.0353	10.1595	10.2119	10.157
AAED1	10.3877	10.3919	10.4607	10.7941	10.7002	10.7771
AAGAB	9.1378	8.79388	9.16615	8.96843	8.87694	8.95743
AAK1	9.7126	9.60041	9.80826	9.86826	10.0158	9.95147
AAK1	11.0843	11.072	11.1109	11.3444	11.4143	11.2153
AAMP	10.4913	10.4709	10.3623	10.2832	10.0573	10.0941
AANAT	6.72359	6.78498	6.6791	6.56608	6.63891	6.77182
AAR2	11.2727	11.3051	11.2715	11.2235	11.1763	11.0684
AARD	8.91652	8.84221	8.98458	8.53523	8.30513	8.55737
AARS	12.0184	11.9254	12.0295	12.1034	11.946	12.0099
AARS2	8.25761	8.14012	8.29769	7.93328	7.81612	7.77103
AASDH	8.79729	8.54618	8.73645	9.3351	9.30229	9.29482
AASS	10.1242	9.94039	10.0252	10.5683	10.5849	10.4297
AATF	11.9134	11.7068	11.9463	11.4646	11.3701	11.4532
AATK	7.61646	7.71095	7.69695	7.56354	7.56037	7.66408
AATK-AS1	7.88681	8.14975	7.88925	7.66143	7.7358	7.96811
AB027122	5.25061	5.68851	5.11524	5.30295	5.40987	5.29945
AB062477	7.39869	7.56539	7.71034	7.34266	7.98393	7.37579
AB062480	6.52446	6.71316	6.91604	6.55267	7.13276	6.67093
AB064668	5.82359	5.8201	5.81055	5.79968	6.17238	5.7499
AB072904	5.98968	6.06057	6.02772	5.91971	6.00424	5.94357
AB088847	5.41556	5.25461	5.09713	5.53852	5.9743	5.27217
AB231740	5.26306	5.02478	5.15761	5.14362	5.11137	5.19352
ABAT	8.69917	8.48072	8.43066	10.2856	10.0581	10.375
ABCA1	8.45928	8.3021	8.44572	9.16403	9.30436	9.11004
ABCA10	3.24744	3.26943	3.23918	3.26072	3.19809	3.53684
ABCA10	5.25469	5.19245	5.30994	5.05611	5.12697	5.21635
ABCA11P	7.27705	7.14846	7.38315	7.22996	7.29428	6.96656
ABCA12	5.87811	5.96392	6.055	7.01625	7.09283	6.94863
ABCA13	6.64563	6.78758	6.73158	6.19627	6.28086	6.40951
ABCA2	8.73608	8.76783	8.65827	9.20122	9.08595	9.09089
ABCA3	6.97805	7.27885	7.05306	7.32315	7.21901	7.31289
