geneNames	GSM2229013	GSM2229014	GSM2229015	GSM2229016	GSM2229017	GSM2229018	GSM2229019	GSM2229020
0610007P14Rik	11.47018	11.4732	11.65166	11.37272	11.72134	11.29372	11.31443	11.23646
0610009B22Rik	9.939939	10.11905	10.19301	9.97723	10.314	10.09189	9.985952	9.853081
0610009O20Rik	8.889214	8.700795	8.788195	8.756521	8.946527	9.245154	9.268919	9.324439
0610010B08Rik	8.0527264	10.2411714	10.2013998	9.5377284	8.849709	9.270976	9.3884346	10.4683182
0610010F05Rik	8.014073	8.339379	8.594589	8.309262	8.37311	8.006992	7.973889	7.780917
0610010K14Rik	10.25372	10.28402	10.36786	10.18973	10.35424	10.20993	10.26881	10.25664
0610011F06Rik	8.463216	8.336142	8.319708	8.311684	8.256602	8.461322	8.425027	8.546127
0610012G03Rik	9.391315	9.306954	9.50978	9.87151	9.610074	9.679208	9.558189	9.600122
0610030E20Rik	9.867311	10.02548	9.822374	9.813896	9.904245	10.09831	10.09547	9.937116
0610037L13Rik	9.33428	9.434992	9.514082	9.462192	9.599852	9.957152	9.759783	9.86266
0610039K10Rik	6.115168	6.029051	6.025201	5.996504	6.170029	6.038119	5.989548	6.120253
0610040B10Rik	6.566946	6.764209	6.93368	6.702598	6.609461	6.719601	6.870752	6.846048
0610040J01Rik	8.117851	8.153975	7.973751	8.171182	8.165676	7.867388	8.011002	8.104267
1110001J03Rik	8.256674	8.173614	8.362546	8.399136	8.406938	8.750762	8.690634	8.477564
1110002L01Rik	7.7079795	7.850813	7.6305175	7.395638	7.762842	8.0916365	7.801221	7.914167
1110004E09Rik	8.527481	8.815722	8.751089	8.726867	8.62154	8.950631	8.953613	8.644131
1110004F10Rik	9.58147	9.757778	9.990394	9.714225	9.690671	9.591715	9.287014	9.436665
1110006O24Rik	7.957593	7.818625	7.676196	8.013868	7.770214	7.807101	7.893058	7.842619
1110007C09Rik	9.260837	8.943922	9.418653	9.772588	9.620632	9.481565	9.5184	9.487452
1110008L16Rik	9.745246	10.16915	9.880235	9.787432	9.855084	9.825697	9.804931	9.530289
1110008P14Rik	9.079898	8.697745	8.815623	8.915452	8.953633	8.228756	8.199824	8.124561
1110012L19Rik	6.802377	6.893449	7.1025775	6.7291575	6.8035185	7.5230265	7.184641	7.0817005
1110017D15Rik	7.82344	7.535031	7.450423	7.79232	7.661581	7.57704	7.643938	7.609173
1110032A03Rik	9.401402	9.36693	9.701838	9.166454	9.357528	9.885121	9.976393	9.802847
1110032F04Rik	7.98689	7.868848	7.6652505	7.8280045	7.9405305	7.624805	7.8426955	7.9486865
1110034G24Rik	7.221797	7.268961	7.115206	7.024435	7.287416	7.332538	7.284105	7.227386
1110037F02Rik	8.88818966666667	9.09944133333333	9.05810833333334	8.901277	8.98561566666667	9.05179466666667	8.886563	8.86116933333333
1110038F14Rik	8.639879	8.615296	8.626526	8.562565	8.519887	8.569017	8.551318	8.539284
1110051M20Rik	9.8129605	9.8347625	9.9905875	9.7034355	9.9772335	10.1605555	10.1688565	10.001566
1110057K04Rik	9.910395	10.15043	10.19508	9.636126	10.26353	11.37931	10.65978	10.64671
1110058L19Rik	6.902923	6.6739	6.717063	6.8606385	6.8883465	7.1349005	6.95518	7.0060475
1110059E24Rik	8.904469	9.141603	9.100884	8.83509	9.005778	9.076373	8.779746	8.734572
1110059G10Rik	7.298982	7.524929	7.830271	7.035061	7.44341	7.512923	7.329113	7.409053
1110065P20Rik	9.333591	9.109384	9.130104	9.348392	9.293119	9.081468	9.127483	9.343719
1190002N15Rik	8.176511	8.324003	8.18021	7.61113	7.984483	8.149219	7.97854	8.029921
1190005I06Rik	7.532806	7.180321	7.296167	7.475947	7.070308	7.357588	7.373558	7.445985
1190007I07Rik	7.853201	7.612837	7.690636	7.955702	8.040883	8.916242	8.179529	8.156124
1200014J11Rik	9.520925	9.838579	9.828048	9.452537	9.58703	9.512	9.442581	9.256795
1300017J02Rik	6.82936	6.677529	6.394273	6.679236	6.669752	6.62606	6.676911	6.865741
1500002F19Rik	6.678994	6.765314	6.495774	6.053753	6.008777	6.234035	5.651833	5.825759
1500009C09Rik	7.902365	7.737233	7.679232	7.769825	7.732684	7.735456	7.846384	7.779713
1500011B03Rik	8.904585	8.95197	9.060125	8.910299	8.869727	8.761789	8.926338	8.913828
1500011K16Rik	7.59589	7.500534	7.533126	7.630234	7.638462	7.731451	7.577672	7.748873
1500015O10Rik	7.080255	6.803648	6.658503	7.103075	6.804649	6.705203	6.908019	7.170979
1500035N22Rik	6.874712	6.661548	6.843464	6.964557	6.746064	6.536586	6.889555	7.032387
1600002H07Rik	8.904827	8.845037	9.073473	8.771837	9.10801	8.870836	8.9718	8.856593
1600002K03Rik	7.987369	7.732724	7.567394	7.717244	7.789303	7.769286	7.68462	7.890683
1600012H06Rik	8.957075	8.98592	9.244646	9.23597	9.252724	9.419242	9.305626	9.456301
1600012P17Rik	6.407009	6.246429	6.159901	6.302575	6.301512	6.269923	6.277879	6.218699
1600014C10Rik	8.877333	8.814558	8.931817	8.9533	8.914227	9.577999	9.397261	9.385066
1600014K23Rik	8.683084	8.245522	8.083755	8.379159	8.289145	8.061038	8.233738	8.483647
1600015I10Rik	5.805054	5.872908	5.79615	5.976977	5.831796	5.819538	5.844647	5.8418
1600017P15Rik	8.065981	7.814972	7.766645	7.794419	7.813847	7.522749	7.682663	7.744227
1600029O15Rik	7.931312	8.098616	7.938463	7.622838	7.920929	7.780665	8.136026	7.753797
1700001C02Rik	6.867553	6.731864	6.615731	6.928681	6.728406	6.527742	6.673645	6.804454
1700001G17Rik	7.121825	7.263793	7.16905	7.185616	7.209436	6.85334	7.190588	7.256265
1700001J03Rik	6.580319	6.361063	6.468081	6.519519	6.496426	6.4052	6.597936	6.565753
1700001J11Rik	5.671009	5.586821	5.627636	5.69411	5.469294	5.694197	5.578794	5.501727
