ID_REF	GSM2229013	GSM2229014	GSM2229015	GSM2229016	GSM2229017	GSM2229018	GSM2229019	GSM2229020
10338001	12.23307	12.31752	12.50488	11.96506	12.04765	12.28841	12.42378	12.0118
10338002	7.912995	7.490538	7.4822	7.911883	7.639487	7.411788	7.523804	7.640077
10338003	10.65602	10.6936	10.87261	10.64347	10.38623	10.6865	10.791	10.43558
10338004	9.250984	9.365472	9.566551	9.165557	9.108837	9.368336	9.434343	8.872787
10338005	4.350971	4.363388	4.384591	4.432431	4.336604	4.404991	4.362749	4.347571
10338006	4.652825	4.652952	4.679297	4.761836	4.619514	4.702809	4.669335	4.640917
10338007	4.93816	4.894302	4.924733	5.079731	4.896933	4.936545	4.942969	4.881494
10338008	5.527858	5.401233	5.36625	5.624776	5.424322	5.37464	5.422822	5.395447
10338009	9.819306	9.297081	9.296378	9.821631	9.500403	9.355621	9.336726	9.661271
10338010	4.416407	4.417615	4.431443	4.483635	4.376117	4.460256	4.421367	4.398898
10338011	7.272786	6.880945	6.886101	7.333853	6.984333	6.891342	6.888493	7.01119
10338012	4.552804	4.562239	4.579863	4.646842	4.525535	4.632673	4.57085	4.53832
10338013	4.196405	4.215315	4.243774	4.26109	4.191601	4.256623	4.216974	4.209666
10338014	4.274676	4.291634	4.305385	4.342992	4.266252	4.338122	4.306367	4.276513
10338015	4.246769	4.261506	4.277277	4.290998	4.223548	4.282107	4.253373	4.241529
10338016	9.123167	8.707621	8.7075	9.080666	8.815484	8.573407	8.691994	8.877138
10338017	12.90317	13.04543	13.13467	12.45504	12.79249	13.10797	13.14293	13.11856
10338018	8.323152	7.878622	7.840529	8.325432	7.993501	7.788764	7.877298	8.068333
10338019	6.786197	6.475305	6.455907	6.768101	6.545024	6.405736	6.483992	6.5496
10338020	9.662035	9.136404	9.12061	9.67316	9.334435	9.129766	9.160883	9.443567
10338021	4.71731	4.70083	4.720747	4.849945	4.676251	4.773618	4.711655	4.690336
10338022	4.668257	4.649599	4.672676	4.721832	4.624707	4.731179	4.668001	4.636323
10338023	5.188305	5.068029	5.081497	5.307389	5.101951	5.125401	5.103444	5.110742
10338024	8.758092	8.279748	8.313602	8.730652	8.452478	8.211622	8.319274	8.489711
10338025	9.307892	9.294446	9.55759	9.301669	9.125928	9.37086	9.342157	8.921583
10338026	13.34626	13.51978	13.58469	12.99062	13.26791	13.53919	13.58072	13.54591
10338027	8.80359	8.282812	8.29426	8.771463	8.444893	8.263668	8.329418	8.53897
10338028	5.976933	5.781777	5.793174	6.050003	5.837584	5.793962	5.796779	5.822932
10338029	10.35267	10.46746	10.67249	10.25383	10.03574	10.58537	10.56528	10.02457
10338030	4.312789	4.327358	4.342318	4.362568	4.304436	4.355945	4.327868	4.3021
10338031	4.207697	4.224983	4.227087	4.251471	4.196017	4.26311	4.216727	4.213877
10338032	4.3057	4.328626	4.35366	4.390506	4.301887	4.370721	4.346049	4.314653
10338033	8.424475	7.942608	7.975576	8.462189	8.082116	7.893072	7.999489	8.147751
10338034	5.131004	5.062744	5.050333	5.232416	5.076763	5.063575	5.068595	5.073184
10338035	9.316257	9.361702	9.602942	9.36268	9.156446	9.368269	9.471901	9.011925
10338036	9.582552	9.732931	10.01142	9.351718	9.394109	9.822062	9.78618	9.116486
10338037	6.040167	6.052204	6.071878	6.622179	6.08435	5.947556	5.939852	6.146211
10338038	4.105173	4.20058	4.13698	4.307622	4.125924	4.220949	4.142962	4.181608
10338039	9.729045	9.189498	9.152131	9.720572	9.388695	9.216281	9.197013	9.553311
10338040	5.898515	5.650451	5.654294	6.011314	5.728914	5.638142	5.708514	5.733508
10338041	11.51837	11.6453	11.90413	11.27169	11.27683	11.71992	11.79324	11.22479
10338042	10.31533	10.47018	10.63056	10.19716	10.08122	10.50655	10.50417	10.07629
10338043	4.176497	4.188576	4.19917	4.230732	4.15862	4.226586	4.198928	4.190917
10338044	12.31098	12.44885	12.62774	12.03911	12.1558	12.38639	12.43413	12.10515
10338045	9.676171	9.102505	9.179602	9.968353	9.347231	9.375475	9.4538	9.658412
10338046	5.617919	5.43959	5.487218	5.671946	5.51853	5.481695	5.507857	5.468809
10338047	9.041472	9.067924	9.159903	12.96112	9.309399	8.792391	8.708497	9.526188
10338048	5.032777	4.957291	4.973894	5.11907	4.95436	5.037266	4.994766	4.948124
10338049	10.06395	9.619919	9.623077	10.07138	9.761553	9.633438	9.640622	9.882297
10338050	4.278558	4.294005	4.313698	4.336384	4.257246	4.337923	4.311795	4.279505
10338051	7.298417	6.91407	6.973009	7.317041	7.04449	6.903007	6.950244	7.089087
10338052	4.852508	4.8324	4.840083	4.939011	4.784513	4.868175	4.808321	4.776904
10338053	9.571587	9.104521	9.062127	9.560483	9.253214	9.049505	9.131786	9.368011
10338054	6.693594	6.368448	6.314892	6.715665	6.413758	6.278336	6.38871	6.485813
10338055	9.270528	8.836014	8.817415	9.24812	8.943079	8.727131	8.820526	9.029019
10338056	5.113754	5.068509	5.057572	5.139114	5.049607	5.037039	5.067245	5.068274
10338057	4.443604	4.459723	4.471566	4.544424	4.423181	4.518862	4.458817	4.437691
10338058	4.158135	4.159013	4.158955	4.233103	4.141116	4.201425	4.162719	4.164026
10338059	13.41188	13.48698	13.58716	13.0576	13.28785	13.45877	13.55447	13.58103
10338060	5.716351	5.647228	5.681345	10.78067	5.70768	5.595586	5.590364	5.804035
