Gene	logFC
CD36	5.812590222
DUSP6	-4.190115556
DCT	5.680447778
SPRY2	-3.788505833
MOXD1	3.265559167
ETV4	-3.831600648
DTL	-3.189684815
ETV5	-4.060878333
TXNIP	2.969127361
NUPR1	3.013357083
LDLR	-3.046441111
ST6GALNAC2	3.900024167
CCND1	-2.476483488
UBASH3B	-2.263630556
CEMIP	-3.337230463
SLCO4A1	-2.587758611
MCM10	-2.823668333
FST	-3.592697963
CD24	3.309414861
RNF150	2.421235833
IER3	-2.547944722
CDC25A	-2.548383963
SPRY4	-3.727743333
AREG	-2.749878194
TLR4	-2.528051111
SESN3	2.806038889
CCNE2	-2.615215
SEMA3C	2.389700889
PCDH10	2.080900833
FAM111B	-3.690595556
RRM2	-2.431306667
TGFA	-2.526317778
SERPINF1	3.114773889
NOV	2.669237407
SLC20A1	-2.422456667
JUN	2.236212778
NT5E	-2.868996806
FAM84B	-2.954135417
SCRG1	2.574873519
AZGP1	2.059321389
LSAMP	2.641548889
HIST1H2BB	-2.142818509
MR1	2.530019167
IGFBP5	2.731733333
SFRP1	-2.109783056
CDCA5	-2.189269259
ANK3	2.390703889
SOX2	2.152468889
ITGB3	-3.157788981
ARHGEF37	2.120626944
SLC16A4	2.198962778
ID2	2.788315486
HIST1H1B	-2.181108056
TRPM3	2.941347639
SNAI2	2.668305066
CDC45	-2.548236389
TCP11L2	2.628896222
PRUNE2	4.287007778
SH2D1B	-2.021851944
SCG5	2.2700625
BMF	2.580311944
AMIGO2	-2.717608102
FOLR1	2.345061759
EXO1	-2.603773333
LRP1B	2.709311944
SH3TC2	-2.268626944
RASGRP1	2.114182778
AHNAK2	2.253417778
CLSPN	-2.741644815
POLE2	-2.246958889
IFITM10	2.211110741
MIR221	-2.506583889
SCUBE3	2.544166944
FAXDC2	2.067853611
SLC38A3	2.408007222
CYB5R2	-2.453621111
FAM198B	2.875893889
COL21A1	2.192096111
TCN1	3.371297222
ADAMTS15	2.390339861
FHDC1	2.003155648
GAS6-AS1	2.109206111
RAD51	-2.343560278
MEF2C	2.116783333
CNTN1	2.128588889
DDIAS	-2.613901667
HPGD	2.014311111
ADHFE1	2.491348333
THBS3	2.079870833
SEMA6A	2.054854722
MRGPRX4	-2.940497431
IFI44L	2.314553889
LEMD1	2.247204722
LINC00518	2.906102222
SEPP1	2.867027778
PMAIP1	-2.215505278
RARB	2.187239444
ANKFN1	2.079071759
MIR17HG	-2.024973889
FYB	2.312597851
PDE5A	2.7593575
RAD51AP1	-2.015708056
LGR5	2.315060278
BLM	-2.332322407
ANGPTL7	3.148846111
XRCC2	-2.522596389
GPR110	-3.406023889
BEST1	2.676411111
MGP	3.015649444
MYLK	2.238326667
EVI2B	-2.410900278
ZNF536	3.057936944
SLC1A1	-2.017790556
PCDH20	2.603771444
SLC14A1	-2.266719444
P2RX7	2.615009653
EDIL3	2.391960463
RFTN2	2.394387222
TP53INP1	2.285694167
CDH10	2.093620741
NR5A2	2.087765833
ANKRD1	-2.005184444
HSD17B3	2.212140833
LY96	2.658029537
CYP1B1	2.959974815
SLC7A8	2.283875992
ESCO2	-2.283084722
PCDH7	2.029993611
ERCC6L	-2.174144444
FREM2	2.017335
SERINC5	2.067855833
LRRC7	2.790148902
MIR222	-2.083969259
PPARGC1A	2.090121944
CRYAB	2.328813056
