ID	logFC
CCNE2	-2.615215
CDC45	-2.548236389
CCND1	-2.476483488
POLE2	-2.246958889
RRM2	-2.431306667
MCM10	-2.823668333
CDCA5	-2.189269259
CDC25A	-2.548383963
EXO1	-2.603773333
CLSPN	-2.741644815
CDC45	-2.548236389
BLM	-2.332322407
POLE2	-2.246958889
DTL	-3.189684815
RRM2	-2.431306667
MCM10	-2.823668333
CDC25A	-2.548383963
CCND1	-2.476483488
XRCC2	-2.522596389
BLM	-2.332322407
PMAIP1	-2.215505278
RAD51	-2.343560278
EXO1	-2.603773333
RAD51AP1	-2.015708056
XRCC2	-2.522596389
BLM	-2.332322407
RAD51	-2.343560278
SLC38A3	2.408007222
BEST1	2.676411111
LDLR	-3.046441111
FOLR1	2.345061759
ANK3	2.390703889
SLC7A8	2.283875992
TGFA	-2.526317778
SLC14A1	-2.266719444
HPGD	2.014311111
