Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	8	6.015037593984962	6.724327251871651E-6	CCNE2, CDC45, CCND1, POLE2, RRM2, MCM10, CDCA5, CDC25A	117	102	16792	11.25657784481314	0.007916678259849985	0.007916678259849985	0.010850007013618601
GOTERM_BP_DIRECT	GO:0006260~DNA replication	9	6.7669172932330826	1.2027774247216245E-5	EXO1, CLSPN, CDC45, BLM, POLE2, DTL, RRM2, MCM10, CDC25A	117	155	16792	8.333498759305211	0.014116331552787353	0.007083252005883112	0.019406580358782843
GOTERM_BP_DIRECT	GO:0010165~response to X-ray	5	3.7593984962406015	1.4365732034132586E-5	CCND1, XRCC2, BLM, PMAIP1, RAD51	117	22	16792	32.618492618492624	0.01683706250262429	0.005644150670152448	0.023178419769609437
GOTERM_BP_DIRECT	GO:0000732~strand displacement	5	3.7593984962406015	2.8740238803856565E-5	EXO1, RAD51AP1, XRCC2, BLM, RAD51	117	26	16792	27.60026298487837	0.033400899779605475	0.008456900133046896	0.04636595301109603
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	9	6.7669172932330826	3.22005138747342E-5	SLC38A3, BEST1, LDLR, FOLR1, ANK3, SLC7A8, TGFA, SLC14A1, HPGD	125	180	18224	7.289599999999999	0.0056833709142751765	0.0056833709142751765	0.0395443997005307
GOTERM_CC_DIRECT	GO:0009986~cell surface	14	10.526315789473683	8.314646538100357E-5	CD36, SCUBE3, LDLR, SFRP1, FOLR1, CRYAB, ANK3, ADAMTS15, TGFA, TLR4, CD24, AREG, ITGB3, NT5E	125	542	18224	3.7658450184501846	0.014609762668320259	0.007331758676807576	0.10208011837088415
GOTERM_BP_DIRECT	GO:0000731~DNA synthesis involved in DNA repair	5	3.7593984962406015	9.594645580519073E-5	EXO1, RAD51AP1, XRCC2, BLM, RAD51	117	35	16792	20.503052503052505	0.10721916315410629	0.02242750905556523	0.15470946608694414
GOTERM_BP_DIRECT	GO:0060749~mammary gland alveolus development	4	3.007518796992481	2.035301188027222E-4	CCND1, ID2, TGFA, AREG	117	17	16792	33.76973353443942	0.2138416829341886	0.03930616835204648	0.3279163935289042
GOTERM_BP_DIRECT	GO:0042493~response to drug	10	7.518796992481203	2.6004054834943396E-4	TXNIP, P2RX7, CCND1, SFRP1, JUN, TGFA, SEMA3C, PPARGC1A, RAD51, DUSP6	117	304	16792	4.721097615834458	0.2646494091497016	0.04296509435197593	0.41878378465429744
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	7	5.263157894736842	3.760913867914834E-4	MEF2C, ID2, LDLR, SFRP1, SERPINF1, CRYAB, TP53INP1	117	137	16792	7.333208559485933	0.35893449409858746	0.0540617191117313	0.6051471063993841
GOTERM_MF_DIRECT	GO:0003697~single-stranded DNA binding	6	4.511278195488721	4.511977918980103E-4	CDC45, RAD51AP1, XRCC2, BLM, MCM10, RAD51	117	93	16881	9.308519437551695	0.1155183347429597	0.1155183347429597	0.5922941371410584
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	9	6.7669172932330826	0.0011334820051903316	TXNIP, CYP1B1, NUPR1, SFRP1, ANKRD1, RARB, PMAIP1, BMF, DUSP6	117	300	16792	4.305641025641026	0.7382945410880037	0.13838642796772016	1.813411243770413
GOTERM_BP_DIRECT	GO:0048147~negative regulation of fibroblast proliferation	4	3.007518796992481	0.0012539099303425412	NUPR1, SFRP1, PMAIP1, TP53INP1	117	31	16792	18.51888613178936	0.773055898024451	0.1378320190938701	2.004255446482961
