gene	logFC	entrezID
CCL23	-4.066608903	6368
COLEC10	-4.122671832	10584
FAM189B	1.747953745	10712
CDC45	4.38682126	8318
RCAN1	-2.257915165	1827
N4BP2L1	-1.847750259	90634
FCN3	-4.120767162	8547
UHRF1	4.353192433	29128
HMMR	4.008655285	3161
NEK2	4.36024922	4751
TTK	4.987051203	7272
AZI1	2.038631835	NA
HIGD1B	3.484327107	51751
BMPER	-4.377918473	168667
KIF18B	4.396988212	146909
E2F8	4.730388614	79733
ASF1B	3.331867203	55723
TRAIP	3.55370746	10293
SPATS2	1.779730124	65244
AURKB	4.049221456	9212
TRIP13	4.055692148	9319
ZWINT	3.035677057	11130
CENPE	3.960478959	1062
TCF19	3.12186714	6941
MND1	4.421431963	84057
MKI67	3.750655231	4288
CCNA2	4.353674923	890
ANLN	4.386294369	54443
NCAPH	3.817870692	23397
KIF14	3.915242569	9928
IRF8	-1.75488298	3394
CPEB3	-2.265086877	22849
DNASE1L3	-3.194639597	1776
C9orf100	2.704757969	NA
EPR1	4.034411378	NA
CCNF	2.597315625	899
KIF18A	4.48646968	81930
SOCS2	-2.498442376	8835
ZFP36	-2.145368223	7538
AURKA	2.808797159	6790
NEIL3	5.126650992	55247
C16orf59	3.483718015	80178
CENPL	2.550750134	91687
CDC37L1	-1.699090388	55664
C13orf26	-3.891895041	NA
GINS1	3.191625555	9837
SPC24	4.431947622	147841
OLFML2B	3.386404383	25903
KIF23	4.19533549	9493
GMNN	2.354326784	51053
ANGPTL6	-2.994849745	83854
NTF3	-3.147155561	4908
ERCC6L	3.702465458	54821
DIAPH3	4.498604493	81624
EME1	3.561653909	146956
FAM111B	3.750203769	374393
VPS45	1.24346444	11311
GNAZ	3.86908516	2781
E2F2	3.521381276	1870
TACC3	2.586439162	10460
BUB1B	4.356426305	701
ARHGAP11A	3.091800043	9824
CXCL12	-2.74386198	6387
GPR182	-3.600668703	11318
CYP2C19	-3.20667863	1557
RAD54L	4.325360003	8438
PNRC1	-1.685340863	10957
MAD2L1	2.827754471	4085
CRHBP	-4.410765801	1393
FBXO43	4.134117343	286151
C1RL	-1.60444359	51279
FOXO1	-1.867195464	2308
ECT2	2.978481705	1894
LYVE1	-3.063579129	10894
