gene	logFC
CCL23	-4.066608903
COLEC10	-4.122671832
FAM189B	1.747953745
CDC45	4.38682126
RCAN1	-2.257915165
N4BP2L1	-1.847750259
FCN3	-4.120767162
UHRF1	4.353192433
HMMR	4.008655285
NEK2	4.36024922
TTK	4.987051203
AZI1	2.038631835
HIGD1B	3.484327107
BMPER	-4.377918473
KIF18B	4.396988212
E2F8	4.730388614
ASF1B	3.331867203
TRAIP	3.55370746
SPATS2	1.779730124
AURKB	4.049221456
TRIP13	4.055692148
ZWINT	3.035677057
CENPE	3.960478959
TCF19	3.12186714
MND1	4.421431963
MKI67	3.750655231
CCNA2	4.353674923
ANLN	4.386294369
NCAPH	3.817870692
KIF14	3.915242569
IRF8	-1.75488298
CPEB3	-2.265086877
DNASE1L3	-3.194639597
C9orf100	2.704757969
EPR1	4.034411378
CCNF	2.597315625
KIF18A	4.48646968
SOCS2	-2.498442376
ZFP36	-2.145368223
AURKA	2.808797159
NEIL3	5.126650992
C16orf59	3.483718015
CENPL	2.550750134
CDC37L1	-1.699090388
C13orf26	-3.891895041
GINS1	3.191625555
SPC24	4.431947622
OLFML2B	3.386404383
KIF23	4.19533549
GMNN	2.354326784
ANGPTL6	-2.994849745
NTF3	-3.147155561
ERCC6L	3.702465458
DIAPH3	4.498604493
EME1	3.561653909
FAM111B	3.750203769
VPS45	1.24346444
GNAZ	3.86908516
E2F2	3.521381276
TACC3	2.586439162
BUB1B	4.356426305
ARHGAP11A	3.091800043
CXCL12	-2.74386198
GPR182	-3.600668703
CYP2C19	-3.20667863
RAD54L	4.325360003
PNRC1	-1.685340863
MAD2L1	2.827754471
CRHBP	-4.410765801
FBXO43	4.134117343
C1RL	-1.60444359
FOXO1	-1.867195464
ECT2	2.978481705
LYVE1	-3.063579129
SEMA3F	1.545692041
PHACTR3	-3.427258065
GPM6A	-3.444307886
LRAT	-3.11406689
ORC1L	3.897335917
CKAP2L	4.04563064
ANKRD52	1.671827816
ADRA2B	-2.309482028
DEPDC1	4.421202135
C12orf48	2.928629198
SGOL2	2.854651779
JMJD5	-2.618640078
ZIC2	6.531328436
TRIB1	-1.888984588
ESM1	3.962721791
FEN1	1.714348037
C15orf42	4.061801289
FAM83D	2.858706639
KIAA0101	3.234680648
THY1	2.815177769
STIL	2.952097744
FANCD2	3.02437182
ID2	-1.577962007
MSTO1	1.795877441
POLQ	3.875930515
KLHL15	-1.43754987
PBK	4.116052951
CCDC99	2.218327275
NOX4	3.217787224
FOS	-2.974328973
MARCO	-4.864271282
RASD2	2.832966784
TK1	2.701339646
DSCC1	2.364208254
KIF15	4.53981834
CENPH	2.343620427
PLXDC1	3.130158258
TOMM40L	1.862158872
CELSR3	3.624100285
TARBP1	1.712678177
MAP2K1	-1.250547325
SHCBP1	4.160725081
MDK	3.793122836
SGOL1	3.77376381
MCM2	2.83355507
KIF19	-2.886879488
MCM6	2.056713602
ANKRD55	-3.127036156
FLVCR1	2.630449772
PTH1R	-3.028506979
SPRY2	-1.573408059
CENPW	2.767308658
RASL12	2.307642556
PCNXL3	1.19682814
OLFML2A	2.660063635
CENPK	3.568650805
RNASEH2A	1.987618997
CAP2	2.395650723
GPC3	5.993891605
KIF11	2.626445118
TGM3	7.234134702
FOSB	-3.49964568
NFIL3	-1.627592722
CCNE1	4.393775023
LOC222699	3.016406375
RFC4	1.839635595
PLSCR4	-1.735029998
NUSAP1	2.59967538
PYGO2	1.212244193
ACADS	-1.850617204
NFKBIL2	2.401759948
C8orf4	-2.223322412
FAM72B	2.958543561
HDAC11	1.918453608
OIP5	3.534960689
APLN	3.736287017
C5orf34	2.903071788
NOTCH3	2.468597808
RND3	-2.165716105
SEMA5B	2.591072161
ORC6L	3.335059968
WDR76	2.868204024
PIGU	1.309386716
MCM10	3.965748083
FCN2	-4.721058062
CDCA2	3.954267277
C6orf145	-1.468971953
NXPH4	6.298739134
CBFA2T3	-2.189916049
STMN1	2.245725015
CLEC4G	-4.985047489
IL1RAP	-2.117467269
SMG5	1.52336863
DEPDC1B	4.055309996
RAD51	2.9323763
MLF1IP	2.67226031
RAD51AP1	3.053644077
TMEM106C	1.643085174
CEP250	1.224535285
ETS2	-1.702740805
TNFRSF4	2.820742851
BRP44L	-1.576015933
LCAT	-2.88489289
ZFP1	-1.576252844
SFTA1P	6.13129413
CETP	-2.678963924
FAM54A	3.66552
COL6A6	-3.639906894
ZFP41	1.912362998
ENAH	1.993941187
CDKN2BAS	4.122015212
CHAF1B	3.288856305
CDKN2C	2.550759081
PAMR1	-2.145095518
FRMD4B	-1.380658119
CEP55	3.441326491
ZNF295	-1.480143466
PHLDA1	-2.337027212
INMT	-2.669839031
MMP11	3.67381624
MESP2	3.776086018
TUBE1	-1.733533132
TRIM45	2.488174029
STAB2	-4.754228248
DACH1	-2.341664347
BCO2	-3.126907435
SMARCA4	1.093726404
PAQR4	2.327244032
DIRAS3	-3.056787655
NT5DC2	2.79725287
MCM3	1.621503339
LDLR	-1.584612942
JRK	1.837682507
NDUFA4L2	3.318733405
TAF6	1.074968634
MT1F	-3.854991766
LPA	-3.19527348
LAMA4	1.931966572
ROBO1	3.273067351
DDX39	1.434372205
ATF3	-1.87039034
CBX2	3.132524996
EGR1	-2.360240929
IGFBP3	-1.966754022
GADD45B	-2.111436221
CD4	-1.714234917
FAM72D	3.578104912
MSH2	1.567011463
KCNN2	-3.479713864
SLC38A2	-1.601878625
RNF152	-1.886215673
CHAF1A	1.702841323
E2F7	4.080923688
TBXA2R	-1.759914195
C21orf91	-1.516989724
WDHD1	2.819465878
HIST2H4A	2.374174413
TTC13	1.349820191
HELLS	3.172207567
PIGC	1.126180519
MTBP	2.607062692
GPRIN1	3.047709181
BAIAP2L2	4.087057517
EHMT2	1.338390097
NDST3	-4.343746686
EBF2	5.395749017
PLK3	-1.865238021
RFX5	1.596305367
KIAA1841	1.833373867
LRRC14	1.363375577
GSTZ1	-2.049438224
KNTC1	2.612340375
CCDC64	2.853627909
PEA15	1.271560449
COL4A1	2.084652482
C21orf58	2.589889807
PKN3	1.949326652
RUSC1	1.489860357
PPAP2B	-1.553929445
PVALB	-3.832730681
ABCC10	1.440677166
WDR67	1.779496988
KIAA1524	3.166903594
FOXK1	1.37496908
OTUB2	1.920755036
NRBF2	-1.087063355
GBA	1.44210555
AADAT	-2.592487687
PLK4	2.88901234
B4GALNT1	4.596602556
KPNA2	1.590190828
PRIM2	1.550819493
HOXA13	7.087436499
TPX2	2.351829753
XRCC3	1.78052864
ADCY6	1.323230268
CENPI	4.372441454
EPS8L3	6.163970787
BCAN	5.782670556
IGF2BP3	4.345328405
POLD1	1.352267876
IL1RN	-2.32660616
POLA2	1.549841337
CSPG4	2.456615319
DUSP6	-1.641007496
HOXD9	4.850692229
SIGLEC7	-1.980099633
IGSF3	3.170686602
FITM1	-2.57772234
TMEM120B	1.230868983
UBAP2L	1.142494694
PSMC3IP	3.456616669
RDM1	4.634153583
BLM	3.05157069
SCAMP3	1.315406419
LOC388152	2.247927564
CCDC34	1.977643561
GJC1	2.40046113
TMEM201	1.373014453
TMEM206	1.564240742
PANK1	-1.62950583
OTX1	5.36727876
C21orf56	3.227379331
PYGB	1.558487016
RHOB	-1.658759704
HPS5	-1.550520861
KIF24	2.257297122
FXN	-1.292957547
CBFA2T2	1.284663186
MCL1	-1.230954558
APOF	-3.074959754
DNAJC6	2.996280843
SLC7A11	4.776816571
FLJ36031	-1.918194063
DUSP9	4.274431946
PIF1	2.764456715
CDC7	2.416833273
ADAM15	1.486710975
YEATS2	1.393544944
IQCE	1.496864209
VMO1	-1.829664894
GHR	-2.301593498
RNFT2	2.878114716
CYR61	-2.007178348
UBE2S	1.988736212
IER2	-1.316064985
SLCO1C1	4.377911773
KIAA1522	1.754729574
NAT2	-3.12252339
ITGA6	1.683252618
MAPT	3.256272008
NSMCE2	1.577550828
GINS3	1.747127061
RIPK4	-1.488408393
C19orf61	1.246236238
CSMD2	4.114442763
FANCG	1.588917579
ERLIN1	-1.327670186
MCM7	1.417119077
CLSPN	3.989236779
FSTL4	5.295109276
CTHRC1	4.259997148
C1orf9	1.325741988
TTL	1.036160887
