fromNode	toNode	weight	direction	fromAltName	toAltName
EPCAM	KLF5	0.926064301673187	undirected	NA	NA
EPCAM	KRT18	0.901732654848775	undirected	NA	NA
AGR2	TSPAN8	0.936347643531596	undirected	NA	NA
KRT19	KRT8	0.906024804465347	undirected	NA	NA
MYO5C	ESRP1	0.901016951029413	undirected	NA	NA
INPP4A	STK10	0.908431406638069	undirected	NA	NA
SLC2A14	SLC2A3	0.937671331849095	undirected	NA	NA
STK10	FAM65B	0.918560127220672	undirected	NA	NA
STK10	FCN1	0.912471139186667	undirected	NA	NA
STK10	DDAH1	0.908031760618438	undirected	NA	NA
STK10	mir-130a	0.924515064258343	undirected	NA	NA
STK10	AOAH	0.901288105291425	undirected	NA	NA
STK10	LILRB2	0.904577859839144	undirected	NA	NA
FAM65B	ITGAL	0.904793527632803	undirected	NA	NA
TBXAS1	FCN1	0.913787417308041	undirected	NA	NA
TBXAS1	mir-130a	0.928077409244549	undirected	NA	NA
NLRP1	DPEP2	0.902532486086599	undirected	NA	NA
LILRA2	FCN1	0.935144302223754	undirected	NA	NA
LILRA2	mir-130a	0.943815012677487	undirected	NA	NA
LILRA2	PSTPIP1	0.904078571449869	undirected	NA	NA
LILRA2	S100A12	0.909384235835635	undirected	NA	NA
LILRA2	CLEC7A	0.907086186870259	undirected	NA	NA
FCN1	DDAH1	0.909329516398768	undirected	NA	NA
FCN1	mir-130a	0.967165508866134	undirected	NA	NA
FCN1	AOAH	0.911942321846305	undirected	NA	NA
FCN1	LILRB2	0.930997441321799	undirected	NA	NA
FCN1	S100A12	0.928718488846405	undirected	NA	NA
FCN1	LST1	0.907547638673741	undirected	NA	NA
FCN1	CLEC7A	0.923061342584021	undirected	NA	NA
FCN1	FGR	0.929014428346099	undirected	NA	NA
GNLY	NKG7	0.90750826175421	undirected	NA	NA
DDAH1	mir-130a	0.904937076442207	undirected	NA	NA
DDAH1	AOAH	0.902993342412844	undirected	NA	NA
DDAH1	FGR	0.902637151603262	undirected	NA	NA
mir-130a	AOAH	0.924698318548239	undirected	NA	NA
mir-130a	PLS3	0.90343491971288	undirected	NA	NA
mir-130a	LILRB2	0.933817251484404	undirected	NA	NA
mir-130a	S100A12	0.916781254403956	undirected	NA	NA
mir-130a	DPEP2	0.904447989543607	undirected	NA	NA
mir-130a	CLEC7A	0.917807013890013	undirected	NA	NA
mir-130a	FGR	0.926718926279987	undirected	NA	NA
NKG7	CD247	0.934737880652707	undirected	NA	NA
NKG7	ITGAL	0.925075551253661	undirected	NA	NA
NKG7	PRF1	0.912196534548166	undirected	NA	NA
NKG7	CST7	0.935204619509421	undirected	NA	NA
NKG7	CORO1A	0.911357076450584	undirected	NA	NA
NKG7	LST1	0.90837247068907	undirected	NA	NA
NKG7	GZMH	0.927464543372073	undirected	NA	NA
ZAP70	CD247	0.916125494343083	undirected	NA	NA
LUM	PLS3	0.903617474809485	undirected	NA	NA
LUM	COL3A1	0.911449186171476	undirected	NA	NA
CD247	ITGAL	0.915996459931949	undirected	NA	NA
CD247	CST7	0.915611441224324	undirected	NA	NA
CD247	CORO1A	0.905811716349986	undirected	NA	NA
AOAH	LILRB2	0.922930550903259	undirected	NA	NA
AOAH	ITGAL	0.91809545933197	undirected	NA	NA
AOAH	CORO1A	0.925173320441708	undirected	NA	NA
AOAH	LST1	0.919858675027153	undirected	NA	NA
AOAH	CLEC7A	0.905703159300101	undirected	NA	NA
AOAH	FGR	0.920326484924748	undirected	NA	NA
AOAH	VAV1	0.909546948792075	undirected	NA	NA
PLS3	COL3A1	0.903944476752416	undirected	NA	NA
PLS3	YAP1	0.904226432059899	undirected	NA	NA
PLS3	mir-1180	0.9113693452453	undirected	NA	NA
LILRB2	MYO1F	0.918301597379457	undirected	NA	NA
LILRB2	CLEC4A	0.914436106162465	undirected	NA	NA
LILRB2	mir-183	0.905035466672235	undirected	NA	NA
LILRB2	LST1	0.921145833081412	undirected	NA	NA
LILRB2	CLEC7A	0.936856652109802	undirected	NA	NA
LILRB2	FGR	0.955990596521733	undirected	NA	NA
LILRB2	LILRB1	0.922488724244762	undirected	NA	NA
LILRB2	HCK	0.902163509100696	undirected	NA	NA
LILRB2	mir-10b	0.910327072927803	undirected	NA	NA
TJP1	YAP1	0.920697499446629	undirected	NA	NA
PSTPIP1	VAV1	0.916137493638368	undirected	NA	NA
ITGAL	MYO1F	0.907190015189043	undirected	NA	NA
