geneNames	GEO111089891	GEO111200291	GEO111200292	GEO111200293	GEO111200294	GEO111200295	GEO111200296	GEO111200297	GEO111200298	GEO111200299	GEO111200300	GEO111200301	GEO111200302	GEO111200303	GEO111200304	GEO111200305	GEO111200306	GEO111200307	GEO111200308	GEO111200309	GEO111200310	GEO111200311	GEO111200312	GEO111200313	GEO111200314	GEO111200315	GEO111200316	GEO111251551	GEO111251552	GEO111251553	GEO111251554	GEO111251555	GEO111251556	GEO111251557	GEO111251558	GEO111251559	GEO111251560	GEO11350411	GEO11350412	GEO11350413	GEO11350414	GEO11350415	GEO11350416	GEO11350417	GEO11350418	GEO11350419	GEO11350420	GEO11350421	GEO11350422	GEO11350423	GEO11350424	GEO11350425
EPCAM	4.100069817	4.071129899	4.035492193	3.985499621	3.712349037	3.959612415	4.071392371	4.27077861	4.269635353	4.000011241	3.835007704	3.830711754	4.114734088	4.047464033	4.028671987	4.024651238	4.087727269	4.028378259	3.87102773	3.80735697	3.96832228	4.201726377	4.249612384	4.374264398	4.038882326	3.809797315	4.048685248	4.115706373	11.5222252	12.14675263	10.68562517	12.16101008	10.30483966	12.07197195	11.75277145	12.42301915	11.91538989	11.24335525	10.44080401	11.59672024	11.21549429	8.985897048	11.36682627	11.32144217	9.575497098	10.64494651	10.61672777	11.70162175	10.95248184	10.6110112	11.63199211	9.531161175
AGR2	4.33834919	4.617441356	4.514529618	4.720196885	4.724208942	4.392308911	4.878630785	4.612011047	4.814969379	4.48599619	4.956373795	5.09412623	4.896514778	5.061762747	5.195763973	4.636824333	4.840980441	5.325335392	5.110962752	5.225912151	5.139517602	5.090113714	4.728320301	4.527510215	4.760398838	4.639677251	5.102162099	5.015032193	12.3934274	12.0636143	9.014007677	11.78300945	11.58098859	12.65425119	11.98809921	9.782577608	12.41896427	11.40228528	10.74910888	11.45202143	10.28498666	11.09974728	10.96706161	10.45898578	11.65116142	9.406876747	11.84962804	11.34967396	10.96173963	10.92710467	11.34917193	10.84178432
PRMT2	7.765521958	7.864031422	7.477420296	7.765475324	7.912208947	7.62408773	7.87595092	7.607283944	7.777984159	7.801655225	7.551006756	7.862823298	7.886781852	7.914002621	8.124654671	7.894813125	7.594059846	7.257774747	7.621272116	7.303066013	7.378413296	7.569890009	7.197577545	7.485527685	7.898336268	7.54082023	7.240596228	7.234040263	6.762207658	6.694595654	6.225891859	6.349645154	6.573586041	6.077137731	6.373131388	6.490879772	6.611637388	6.268115943	6.342924837	6.46944492	6.432160108	6.266772138	6.42438532	6.713526682	6.344787955	6.551611208	6.510867924	6.44974989	6.561323732	6.685614139	6.542478954	6.462385855
NFIB	4.051200169	4.545088963	4.287837323	4.178549172	4.222093088	4.307690029	4.233031244	4.128125843	4.385620103	4.157981861	4.181201623	4.014986133	4.857419501	3.985860919	4.12539029	4.231270422	4.193559149	4.166905728	4.140841226	4.134258633	4.036126117	4.151057561	4.17475948	4.266008038	4.180643868	4.185578784	4.139937588	4.493418403	6.722257781	6.884589176	6.534283808	7.264720866	7.022786891	6.773595952	6.987859128	5.81950608	6.461581465	6.911254304	6.38595892	6.567105907	6.148964248	6.428674857	6.073948477	6.7280963	6.637244734	6.427133059	6.37024246	6.503583461	6.584199646	7.070218162	6.598667266	6.486836097
RAB25	4.903724798	5.078372701	4.888397967	5.028153829	5.480134916	5.326443867	5.236207705	4.630918324	4.699758183	5.4918501	5.418834223	5.061636713	5.276789289	5.035234176	5.496139798	5.698493373	5.541197883	5.367236217	5.412277682	5.329880568	5.499825017	5.440354326	4.874941066	5.211502676	5.101557326	5.107837683	4.912801808	5.472541582	9.853193996	9.332597602	9.093908301	9.868841358	8.195251261	10.39099842	9.559185958	9.353881295	9.767746437	8.310661268	8.845542952	9.425645638	9.28873635	8.809625095	9.340484564	9.218889491	9.113068048	9.365846011	9.588366149	9.57330924	9.108941033	8.5262618	9.11141915	9.012506094
ERBB3	4.657767487	4.586735403	4.905005792	5.001999461	4.920316502	5.061421011	4.901208435	4.921583596	4.973613139	4.777529608	4.847170729	4.920616229	4.88441868	4.761488016	4.848740872	5.301061453	4.755525869	4.812795161	5.012452119	4.745297972	4.856089901	5.051548762	5.108135258	5.01570757	5.11326938	4.820780921	4.910111314	4.95157001	6.982232494	6.774883683	6.664816337	6.99179735	6.698015657	7.402003583	7.124798791	7.020768613	7.031565173	6.873940162	6.783818698	7.533936487	6.707522665	7.268398772	7.511608566	7.260208817	7.368488921	6.789021559	7.209571291	7.553929607	7.338598006	7.241281158	7.379885348	7.124322812
KLF5	5.421157767	4.799618445	4.502288249	4.949738468	4.288252229	4.915116961	4.726484034	4.269464587	5.14203463	4.924727	4.586336444	4.28182007	4.022907146	4.636672964	4.371387752	4.556246724	4.466620699	4.483560012	4.358681213	4.484994321	4.441332588	4.404432356	4.148713668	4.368303312	4.560514348	4.398192493	4.23021129	5.1738146	9.58936252	9.655140179	7.875922164	10.24772545	8.033754607	9.970634382	9.928072603	9.630217986	9.101537259	9.728933234	8.788925195	8.837911891	9.179615474	7.818504234	9.013025815	8.96319114	8.275992447	9.328751076	8.904795816	9.560987605	8.947953975	8.405876405	8.71161291	7.861347152
CLEC2B	8.782755609	8.874920325	9.206790209	9.196434047	8.699069058	8.16147805	8.726629062	9.168339218	8.831998362	8.975081126	9.234103405	8.962753733	8.667554214	8.663644458	8.893133755	8.995601304	9.172734614	9.190307472	9.493192341	9.494095209	9.747769883	9.258573178	9.44323221	9.070445542	9.000384198	9.180926529	8.129392766	8.790841405	6.290110247	6.427256254	6.65713827	5.107568984	6.881284025	5.488184278	6.664490319	4.971980567	5.891273348	5.443129845	6.461158095	5.259819955	6.027171354	5.834420576	5.694105508	7.057048733	5.757182719	6.997337099	6.516606007	5.719571687	6.214671551	6.715016153	5.55386723	5.413974557
KRT19	4.246334024	4.394283133	4.538444316	4.440371314	4.752947666	4.51351973	4.546886951	4.724193605	4.598852676	4.506391533	4.4348787	4.648409862	4.594740084	4.59579879	4.577165324	4.820357556	4.648213989	4.890424932	4.622594244	4.860138826	4.647275905	4.781428027	4.680166267	4.916063798	4.578516566	4.730447185	4.57291961	4.783512966	8.435668338	8.440305801	7.14039971	8.253425294	6.965018369	7.686457805	7.947138422	7.996846742	7.750631988	7.766639186	8.219149983	8.505610194	8.631379775	6.760050791	7.631117099	8.095393061	8.1286785	8.449871008	8.016928814	7.418207278	7.402599397	7.227708479	8.224911797	7.535077041
CHST7	6.549652361	6.4274848	7.070222719	6.442196042	6.702244119	6.464370141	7.085001111	6.775103882	6.583635254	6.754940423	7.07279306	7.102094991	6.957678231	6.706046759	7.073554645	6.869828214	7.015794285	6.989887849	7.054851277	6.962236519	7.165792828	7.404047689	7.055168401	6.763952103	6.951155307	6.821368174	6.401423595	6.339718651	5.458031893	5.698043992	5.293251951	4.631541764	5.694394366	4.94387008	5.197946215	5.249414811	4.644081266	5.546094084	5.594451585	4.995644171	5.371995749	5.170713167	5.279099723	5.728780191	5.579484163	5.636907148	5.346343061	5.180047966	5.295059688	5.867249916	5.322604817	5.229354382
KRT18	6.09078857	5.748154929	5.766614166	6.382510674	5.935160056	5.814486191	5.860845886	5.780433831	5.99863537	5.912893685	5.927782154	5.814702539	5.391953566	5.714262781	5.840368916	6.102092448	5.853164042	5.913649081	5.872522841	6.036942591	6.092307649	6.187585293	6.398438277	6.557995896	6.181315837	6.007041081	5.71117138	6.019061941	11.60889145	10.97278265	9.563609181	11.82946077	10.75740164	12.49370518	11.68681811	10.93023245	11.90591198	11.00902719	11.80111519	11.18424136	12.25056121	10.0073768	11.53390407	11.44340184	10.25166313	12.7124785	11.07137633	11.76164277	10.70254588	10.61685573	11.16787761	10.17733132
CXADR	4.096947231	4.170780698	4.128501374	4.486920676	4.354032645	4.339370325	4.484554177	4.219801298	4.41161778	4.390160857	4.235897402	4.201752678	4.052094541	3.974546167	4.194680283	4.399500567	4.33330677	4.283028552	4.495189666	4.309905194	4.317082592	4.287903076	4.456686356	4.408710306	4.550962127	4.296093932	4.325535457	4.472545466	8.065625675	8.165793642	7.412813091	8.126477236	6.536707812	8.040134507	7.910447811	7.698244509	6.792612979	6.631636568	6.639942512	7.565757392	7.079801208	7.748597546	7.628425574	7.724439802	7.800463018	6.48087418	7.841711706	7.675186673	7.426251035	7.066073481	8.334203509	7.793096672
SOX9	5.306202905	5.285665802	4.139580113	3.897045836	3.849830659	4.173871824	4.271431001	3.833998673	3.935597818	4.282466719	3.788434941	3.841322707	3.878059533	4.355947428	3.911088697	4.815032309	3.831214512	4.247913714	4.203098464	4.288994318	4.186457258	4.149526184	4.684962608	4.595516105	4.176606949	4.480071692	4.268177231	4.104609435	8.938526443	8.115924015	8.943307479	10.14989282	7.832837788	9.23856354	8.890766633	8.953424224	9.082232805	9.701346585	9.179298642	8.649448602	9.375152033	7.830422166	8.780258447	10.79953219	8.185450404	9.230358991	8.701219371	8.39466611	8.609537395	9.163668251	8.614217855	8.330115357
ATP1B1	7.428052079	5.979310718	5.734691325	6.129134373	5.859652496	6.45176226	6.256130681	6.252016473	5.564475062	5.810616402	5.350619841	4.971049939	5.615755361	4.316082591	5.654562511	6.136499978	6.134270904	6.288831477	6.116008939	5.899052373	6.3294196	6.216400435	6.201608192	5.875751467	6.153208979	4.977593804	6.077335782	5.69021773	11.18363991	11.72982441	11.2513249	12.33066606	10.58234525	12.44660541	11.63933869	10.90871556	12.05819421	12.65155181	10.55896947	11.21630395	11.34127874	11.5163222	10.80152401	11.53759234	11.87562335	9.119135288	10.70434756	11.59670311	10.8449107	11.23045093	10.80115394	11.40211366
CDH1	4.026582336	3.930732337	4.290240046	4.253928311	4.165776381	4.215664217	4.153126698	4.754043403	4.187042061	4.420339617	4.261076364	4.02034512	4.035981492	4.124698846	4.240386989	4.437779616	3.839719963	3.917321835	4.257353722	4.060019913	4.044828962	4.391547254	4.235406047	4.445484102	4.255527973	4.296370836	4.3986762	4.371875681	8.014388426	8.351203465	7.82192929	8.709222759	7.112973462	8.274005576	7.981253574	8.266230547	8.384493767	7.342987567	5.915320307	8.138806276	8.176440399	8.056599778	8.704475483	7.222697929	8.203684975	6.442716457	7.615327583	7.711235168	7.724612568	7.235284696	9.358286919	7.851680011
MYO5C	4.077996208	4.428822389	5.47502491	5.884895951	5.343754883	5.446577399	5.480892709	5.348694541	5.51251591	5.439075448	5.592307364	5.352732056	5.482751367	5.288456924	5.381859637	5.439982818	5.396192231	5.438678744	5.571315222	5.406402414	5.383767623	5.435204283	5.509055371	5.260886898	5.511450423	5.280492644	5.485310663	5.270416261	10.2698975	9.789323922	8.565233876	10.32506885	8.869550196	9.255392801	9.431743518	8.732623208	9.707952468	8.472687595	8.580960185	8.867685325	8.916056572	8.825308669	8.749048285	8.227992779	8.488478959	9.107709553	9.518551401	9.039717235	8.429399769	8.096166124	8.817830346	8.805191597
EHF	3.872429872	3.966454615	4.197463874	4.1481444	4.134250209	4.213771807	4.272290583	4.0393251	4.246001594	4.22447654	4.209866912	4.12005012	4.24924328	4.14867532	4.109055942	4.504108301	4.071289503	4.193082943	4.184361758	4.27376152	4.30211926	4.362072675	4.338468948	4.356297047	4.389169154	4.111968374	4.238527665	4.138402541	6.935928166	6.715017971	6.290588966	7.539556489	7.412345601	6.781816056	6.852010725	6.289619938	7.577026418	7.145523701	6.080204772	6.755519167	6.718397498	6.599612266	6.654323468	5.938344957	6.316737947	6.915436996	6.465679456	6.531321968	6.434645338	6.630490156	7.169947013	6.328060892
PLS1	4.264520796	4.077244763	4.715472191	4.812017874	4.826675302	4.127728598	4.906818129	4.646557753	4.472094927	4.71575218	4.48225461	4.568769383	4.16941636	4.571589541	4.480602252	4.576930255	4.663740408	4.391132665	4.55481003	3.775717082	4.242841833	4.646029953	4.555309974	4.401547445	4.69554913	4.868149129	4.542466106	4.606718842	10.30862368	11.25294116	8.372623618	10.59156931	8.660714393	9.814847498	10.51023133	9.411123589	10.32315809	8.155854385	8.297037701	10.15930824	9.217270566	8.582314637	10.15849289	8.646404682	8.697499975	8.263272961	9.673059319	10.09857812	9.915957469	8.540750839	10.46001132	8.691066569
ESRP1	3.915355673	4.104548492	4.662800508	4.385511198	4.313740574	4.222170594	4.312342748	4.110258792	4.741166264	4.309915497	4.392069077	4.313611402	4.506226351	4.356107701	4.50021459	4.676657073	4.506394938	4.709888717	4.675980923	4.177232955	4.500016448	4.832702557	4.571634239	4.890234451	4.889131738	4.628937231	4.35804944	4.410792276	9.320908138	9.000716414	9.052672848	10.23542489	8.361269533	9.942659847	9.493438426	8.872579797	9.303135406	8.22768103	8.763898931	8.213249155	8.116206061	8.142088341	8.272415633	7.702800895	7.948212593	8.847618892	8.224329074	8.697550485	7.822338865	7.356740904	8.589743117	8.441803399
LSR	4.863931961	4.729892521	6.197829659	6.425182794	6.327070669	5.80859197	5.699058414	6.587892149	6.520724913	6.780666011	5.81891112	6.295298112	5.04944468	6.656240836	6.317721026	6.272645342	6.81023099	6.165201008	6.379765213	6.124784681	6.441890639	5.58124835	6.370555224	6.386992153	6.303409447	6.031784578	7.174488304	6.73670429	9.722525718	9.58091753	9.523241293	10.59413695	9.082671596	10.88676322	9.12985417	10.15609612	10.22799713	8.970218209	9.968044358	8.773002679	9.91470413	8.51540974	9.010534898	8.91616999	8.931683131	9.158198769	8.92506837	9.322350044	8.604520653	8.676323074	8.715058806	8.305342757
TSPAN8	3.97280869	4.0696111	4.632790562	4.237740655	4.264623833	4.332271725	4.439304253	4.783980395	4.511013394	4.649719825	4.317638728	4.481366413	4.221542172	4.347106078	4.301402922	5.094199191	4.72261145	4.9313248	4.530508562	3.981456998	4.740407746	4.785472426	5.149932395	4.839487439	4.32591163	4.778344354	4.091794092	4.611028936	12.80765133	12.71165112	7.583878672	12.88220274	12.28589379	13.28069478	12.67973702	11.9468002	12.88657271	12.54391048	10.59619796	12.60102178	11.79352827	10.98619394	11.89437119	11.42687256	12.49120741	8.945758473	12.26616535	12.11663158	11.79755708	11.64503138	12.32229951	11.60194339
CNOT8	7.979201319	7.943610095	8.545482862	8.729550307	8.562145319	8.204076967	8.257477021	8.471947771	8.481403176	8.488551873	8.804194016	8.834763238	8.795330794	8.845654645	8.74574525	8.577814179	8.723407467	8.923905753	8.962329367	9.046131055	9.049465906	8.682324229	8.782217532	8.735342366	8.594333622	8.561759037	8.004691215	8.611368646	7.337001566	7.143698478	6.521898522	7.316338041	6.775495008	7.208369429	7.233811886	6.48141411	7.002802534	6.542038421	7.224581928	6.347333423	7.095056576	6.811159057	6.774245459	6.643884502	6.953388298	6.948732089	6.286186965	6.617734329	6.770173437	7.208327905	6.746854443	6.761168369
