nodeName	nodeClass
EPCAM	gene
AGR2	gene
KLF5	gene
KRT19	gene
KRT18	gene
MYO5C	gene
ESRP1	gene
TSPAN8	gene
KRT8	gene
INPP4A	gene
SLC2A14	gene
STK10	gene
FAM65B	gene
TBXAS1	gene
NLRP1	gene
LILRA2	gene
FCN1	gene
GNLY	gene
DDAH1	gene
mir-130a	mir
NKG7	gene
SLC2A3	gene
ZAP70	gene
LUM	gene
CD247	gene
AOAH	gene
PLS3	gene
LILRB2	gene
TJP1	gene
PSTPIP1	gene
ITGAL	gene
TUBB1	gene
PRF1	gene
MYO1F	gene
CST7	gene
S100A12	gene
CLEC4A	gene
SELPLG	gene
mir-183	mir
CORO1A	gene
DPEP2	gene
ITGB2	gene
LST1	gene
GZMH	gene
RASGRP2	gene
COL4A2	gene
COL3A1	gene
CLEC7A	gene
FGR	gene
COL4A1	gene
KLRK1	gene
PIK3R5	gene
PRKCH	gene
GPR65	gene
YAP1	gene
VAV1	gene
HMHA1	gene
PRKCB	gene
STAT4	gene
BIN2	gene
IKZF1	gene
S100A9	gene
FKBP9	gene
NRGN	gene
DOK2	gene
LY86	gene
NCF2	gene
TRAF3IP3	gene
LILRB1	gene
mir-1180	mir
COL1A1	gene
ITGAM	gene
TLR2	gene
LRMP	gene
CD86	gene
CD48	gene
HCK	gene
mir-10b	mir
COL6A3	gene
FYB	gene
PARVA	gene
PLEK	gene
LAMB1	gene
IL10RA	gene
PTPRC	gene
AIF1	gene
MNDA	gene
COL5A2	gene
COL1A2	gene
GMFG	gene
LCP2	gene
TYROBP	gene
COL5A1	gene
CYBB	gene
ARHGAP15	gene
LCP1	gene
EVI2A	gene
MS4A6A	gene
FCER1G	gene
SASH3	gene
EVI2B	gene
RNASE6	gene
LAPTM5	gene
HCLS1	gene
