geneNames	s1	s2	s3	s4
A2M	52	2	52	2
AAAS	4	6	8	11
AACS	3	6	6	3
AAED1	0	6	28	8
AAGAB	10	6	6	10
AAK1	13	16	30	19
AAMP	6	8	37	4
AAR2	7	8	71	8
AARS	25	24	34	18
AASDHPPT	5	8	2390	2222
AASS	20	7	3010	2058
AATF	4	9	1523	300
ABCA1	27	7	26	3
ABCA2	9	11	13	5
ABCA6	23	0	8	4
ABCA8	16	0	121	0
ABCA9	11	0	6	8
ABCB6	5	3	5	4
ABCB7	7	2	14	4
ABCC1	15	27	13	11
ABCC3	15	8	134	64
ABCC4	14	15	35	20
ABCC5	14	2	13	17
ABCC9	12	9	9	10
ABCD3	12	8	8	12
ABCE1	14	25	2	7
ABCF1	19	15	18	49
ABCF2	15	14	616	680
ABCF3	8	6	9	17
ABHD10	5	6	310	310
ABHD12	8	7	43	32
ABHD16A	5	1	231	52
ABHD2	61	24	7	4
ABHD4	36	13	5	6
ABHD5	6	12	31	46
ABI1	12	11	54	5
ABI2	15	6	7	19
ABI3BP	54	77	4	5
ABL1	24	41	8	8
ABL2	7	12	6	9
ABLIM1	9	3	5	3
ABLIM3	2	13	2	5
ABR	23	20	0	9
ACAA1	6	4	34	21
ACAA2	10	17	9	8
ACACA	27	27	7	3
ACAD10	7	4	1	7
ACAD8	5	3	68	22
ACADM	6	3	4	5
ACADSB	5	4	35	86
ACADVL	23	43	8	2
ACAP2	21	14	48	33
ACAP3	5	3	21	71
ACAT1	8	11	8	13
ACAT2	5	3	3	5
ACBD3	7	12	16	3
ACBD5	2	5	30	27
ACBD6	6	2	2	5
ACCS	5	0	6	5
ACER3	4	7	11	9
ACIN1	29	24	9	5
ACKR1	10	0	128	1488
ACLY	53	86	354	166
ACO1	20	36	3	6
ACO2	6	11	6	1
ACOT7	4	8	10	6
ACOT9	6	10	5	6
ACOX1	6	5	8	4
ACOX3	1	5	64	22
ACP1	9	8	297	216
ACP2	5	6	72	1
ACSF2	14	3	2	6
ACSL1	62	10	30	4
ACSL3	32	17	5	1
ACSL4	11	29	509	135
ACSM5	5	0	19	58
ACSS2	8	1	27	6
ACSS3	14	2	6	14
ACTA2	93	116	4	12
ACTB	374	1366	10	25
ACTC1	0	14	6	4
ACTG1	610	1014	116	0
ACTL6A	9	7	6	3
ACTN1	103	263	57	18
ACTN4	55	189	0	17
ACTR10	11	22	4	5
ACTR1A	17	28	7	0
ACTR1B	7	4	1	9
ACTR2	54	117	97	960
ACTR3	40	88	4	8
ACTR8	1	5	11	8
ACVR1	25	18	20	23
ACVR1B	7	5	23	13
ADA	6	3	20	16
ADAM10	34	62	4	5
ADAM12	69	70	60	24
ADAM15	8	11	8	0
ADAM17	8	8	24	35
ADAM19	1	22	12	15
ADAM23	5	11	88	99
ADAM9	62	132	3	5
ADAMTS1	39	118	8	22
ADAMTS12	3	16	5	0
ADAMTS2	116	81	1	7
ADAMTS5	23	6	183	90
ADAMTS6	3	16	0	5
ADAMTS7	5	8	10	22
ADAMTSL4	7	3	73	60
ADAR	38	52	7	1
ADARB1	28	19	14	15
ADCY3	4	6	8	24
ADCY6	7	19	3	38
ADCY7	10	42	0	98
ADCY9	4	7	99	167
ADD1	33	50	30	49
ADD3	46	34	12	6
ADH1B	43	0	35	52
ADH5	60	24	11	7
ADI1	7	15	12	11
ADIPOR1	3	17	7	0
ADIPOR2	11	14	15	1
ADK	13	8	0	39
ADM	18	6	44	35
ADNP	22	9	246	181
ADNP2	5	6	152	82
ADO	7	3	110	95
ADPGK	5	9	158	99
ADRA2A	8	0	5	5
ADSL	12	9	64	44
ADSS	13	13	76	48
AEBP1	368	26	12	12
AEBP2	5	8	38	28
AEN	3	6	132	91
AES	20	38	49	52
AFAP1	14	61	81	62
AFF1	13	14	56	46
AFF4	34	38	91	52
AFG3L2	6	13	65	41
AFTPH	5	7	68	37
AGA	6	4	101	77
AGAP1	6	8	76	48
AGAP3	8	6	68	34
AGBL5	4	5	57	39
AGFG1	9	27	54	33
AGGF1	9	7	10	5
AGK	5	4	72	39
AGL	9	4	13	12
AGO1	5	5	1	5
AGO4	7	2	21	26
AGPAT1	5	15	3	6
AGPAT3	8	14	2	8
AGPAT4	7	2	5	0
AGPAT6	17	13	2	5
AGPS	17	13	6	0
AGRN	8	27	5	6
AGTR1	8	6	5	3
AGTRAP	5	3	0	7
AHCTF1	13	12	5	4
AHCY	25	8	45	49
AHCYL1	23	29	29	25
AHCYL2	2	5	5	7
AHI1	13	7	168	73
AHNAK	469	669	9	4
AHNAK2	7	17	3	10
AHR	23	18	1	7
AHRR	1	12	7	9
AHSA1	12	12	155	60
AHSA2	16	6	109	89
AIDA	20	20	1	7
AIFM1	4	6	7	6
AIFM2	4	6	56	25
AIG1	7	4	6	5
AIM1	15	9	4	9
AIMP1	11	9	49	33
AIP	8	7	8	17
AJUBA	5	20	1	5
AK1	6	4	1	8
AK2	16	22	43	33
AK3	4	9	14	18
AK4	2	13	1	5
AK5	4	7	24	25
AKAP10	5	2	184	127
AKAP11	20	22	6	4
AKAP12	26	37	14	14
AKAP13	24	13	2	6
AKAP8L	7	5	6	13
AKAP9	15	20	92	46
AKIP1	3	10	6	5
AKIRIN1	9	6	122	65
AKIRIN2	6	4	9	20
AKR1A1	14	4	8	35
AKR1B1	15	57	1	5
AKR1C1	26	10	12	5
AKR1C2	10	1	61	34
AKR1C3	28	5	3	5
AKT1	7	28	4	7
AKT1S1	7	7	2	7
AKT2	10	13	19	19
AKT3	14	22	97	60
AKTIP	6	2	94	101
ALAD	28	8	50	37
ALAS1	4	9	0	5
ALCAM	48	116	8	8
ALDH18A1	9	25	7	9
ALDH1A3	5	28	42	19
ALDH1B1	24	35	13	17
ALDH1L2	52	31	4	13
ALDH3A2	10	9	51	39
ALDH3B1	1	10	52	33
ALDH4A1	1	6	10	5
ALDH6A1	9	4	12	17
ALDH7A1	7	4	6	2
ALDH9A1	12	15	77	72
ALDOA	66	186	4	5
ALG1	4	6	59	45
ALG13	4	5	6	22
ALG14	3	5	13	9
ALG2	7	9	73	43
ALG5	6	2	3	8
ALG8	5	5	0	7
ALKBH5	8	13	19	21
ALMS1	4	6	3	9
ALPK1	7	5	2	8
ALPK2	19	85	30	49
ALPL	28	6	6	4
ALS2	9	12	7	8
ALS2CL	0	8	24	9
AMBRA1	8	8	10	25
AMD1	5	15	1	5
AMFR	22	24	5	1
AMIGO2	12	63	10	7
AMMECR1	1	8	3	23
AMMECR1L	1	5	3	11
AMOTL1	22	18	1	5
AMOTL2	10	45	3	6
AMPD2	8	11	4	10
AMZ2	3	6	10	10
ANAPC1	10	10	10	5
ANAPC11	6	3	7	7
ANAPC13	6	16	0	5
ANAPC16	9	4	5	5
ANAPC4	6	4	7	16
ANAPC5	12	24	11	25
ANAPC7	2	11	27	2
ANGEL1	7	3	12	18
ANGEL2	4	6	6	8
ANGPT1	54	20	0	6
ANGPTL2	69	1	11	12
ANK2	10	9	27	26
ANKFY1	23	10	1	45
ANKH	66	15	29	27
ANKIB1	20	25	0	11
ANKLE2	17	28	2	11
ANKRD1	4	78	1	6
ANKRD10	38	2	8	15
ANKRD11	28	23	5	2
