Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0035994~response to muscle stretch	3	5.660377358490567	0.0010152754603805665	FOS, DMD, JUN	51	16	16792	61.73529411764706	0.392712816273442	0.392712816273442	1.4484528588359247
GOTERM_MF_DIRECT	GO:0000982~transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	3	5.660377358490567	0.0020904640317478	FOS, ETS1, JUN	51	23	16881	43.17391304347826	0.26480525739252014	0.26480525739252014	2.4594872348912444
GOTERM_CC_DIRECT	GO:0005667~transcription factor complex	5	9.433962264150944	0.0022198005317350003	FOS, ETS1, JUN, HOXA9, TCF12	53	193	18224	8.908006647766156	0.25918635166508464	0.25918635166508464	2.571676199492978
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	6	11.320754716981133	0.005854350815173059	ATRX, TOP1, FOS, JUN, FMR1, MNT	51	391	16881	5.079283887468031	0.578155510692037	0.3505044347280245	6.748588644989084
GOTERM_BP_DIRECT	GO:0008542~visual learning	3	5.660377358490567	0.007927624884648482	MEIS2, NDRG4, HMGCR	51	45	16792	21.95032679738562	0.9799188727209268	0.8582921057983248	10.803043125594524
GOTERM_BP_DIRECT	GO:0051591~response to cAMP	3	5.660377358490567	0.008272309229552265	FOS, JUN, PDE3A	51	46	16792	21.47314578005115	0.9830687947361365	0.7432191542422922	11.247147071841034
GOTERM_MF_DIRECT	GO:0003677~DNA binding	12	22.641509433962266	0.008706363675691258	ATRX, TOP1, FOS, MEIS2, H2AFV, HIPK1, ZBTB10, ETS1, JUN, BAZ2B, APLP2, PHF6	51	1674	16881	2.3727598566308243	0.7234709407922425	0.3485012421265745	9.882753076116114
GOTERM_MF_DIRECT	GO:0008134~transcription factor binding	5	9.433962264150944	0.00984548671895338	FOS, MEIS2, ETS1, JUN, TCF12	51	284	16881	5.827464788732395	0.7664731640948885	0.30484092164334753	11.107374858821629
GOTERM_BP_DIRECT	GO:0090287~regulation of cellular response to growth factor stimulus	2	3.7735849056603774	0.011858396759336318	DMD, FBN2	51	4	16792	164.62745098039215	0.9971409640103014	0.7687642889094214	15.747138249396919
GOTERM_MF_DIRECT	GO:0046982~protein heterodimerization activity	6	11.320754716981133	0.011880035691683914	FOS, H2AFV, JUN, FMR1, TPD52, TCF12	51	465	16881	4.2709677419354835	0.8274074361431536	0.2962726725906508	13.256773853331804
